time,date,symbol,volume,adjprice,oil,gold,sp500,vix,rates_10y
2158,2018-07-30,XOM,11282800,57.46630096435547,70.12999725341797,1221.300048828125,2802.60009765625,14.260000228881836,2.9749999046325684
2159,2018-07-31,XOM,11716800,57.30459976196289,68.76000213623047,1223.699951171875,2816.2900390625,12.829999923706056,2.96399998664856
2160,2018-08-01,XOM,8936300,56.5172119140625,67.66000366210938,1217.9000244140625,2813.360107421875,13.149999618530272,3.003000020980835
2161,2018-08-02,XOM,8364300,56.17975234985352,68.95999908447266,1210.5999755859375,2827.219970703125,12.1899995803833,2.986000061035156
2162,2018-08-03,XOM,7811100,56.38362121582031,68.48999786376953,1214.199951171875,2840.35009765625,11.640000343322754,2.953000068664551
2163,2018-08-06,XOM,10041800,56.36955261230469,69.01000213623047,1208.5999755859375,2850.39990234375,11.270000457763672,2.937999963760376
2164,2018-08-07,XOM,10698100,57.1358528137207,69.16999816894531,1209.5999755859375,2858.449951171875,10.93000030517578,2.9730000495910645
2165,2018-08-08,XOM,7275000,56.75621032714844,66.94000244140625,1212.5999755859375,2857.699951171875,10.850000381469728,2.970999956130981
2166,2018-08-09,XOM,9828500,56.46800231933594,66.80999755859375,1211.9000244140625,2853.580078125,11.270000457763672,2.934999942779541
2167,2018-08-10,XOM,12954300,56.4111442565918,67.62999725341797,1211.0999755859375,2833.280029296875,13.15999984741211,2.8570001125335693
2168,2018-08-13,XOM,10308500,55.8003044128418,67.19999694824219,1191.300048828125,2821.929931640625,14.779999732971191,2.877000093460083
2169,2018-08-14,XOM,8005900,55.62273788452149,67.04000091552734,1193.0,2839.9599609375,13.3100004196167,2.8949999809265137
2170,2018-08-15,XOM,16307800,54.64963912963867,65.01000213623047,1177.5,2818.3701171875,14.640000343322754,2.851999998092652
2171,2018-08-16,XOM,11519900,55.40255355834961,65.45999908447266,1176.199951171875,2840.68994140625,13.449999809265137,2.871000051498413
2172,2018-08-17,XOM,10178400,55.58723068237305,65.91000366210938,1176.5,2850.1298828125,12.640000343322754,2.872999906539917
2173,2018-08-20,XOM,8152100,55.97788619995117,66.43000030517578,1186.800048828125,2857.050048828125,12.489999771118164,2.822999954223633
2174,2018-08-21,XOM,9192200,55.99208831787109,67.3499984741211,1192.5999755859375,2862.9599609375,12.859999656677246,2.844000101089477
2175,2018-08-22,XOM,10098200,56.794715881347656,67.86000061035156,1196.300048828125,2861.820068359375,12.25,2.822999954223633
2176,2018-08-23,XOM,7203900,56.16965866088867,67.83000183105469,1187.0,2856.97998046875,12.40999984741211,2.821000099182129
2177,2018-08-24,XOM,6545200,56.55324172973633,68.72000122070312,1206.300048828125,2874.68994140625,11.989999771118164,2.825999975204468
2178,2018-08-27,XOM,6671900,57.10723876953125,68.87000274658203,1209.0,2896.739990234375,12.15999984741211,2.8480000495910645
2179,2018-08-28,XOM,8823400,57.02200698852539,68.52999877929688,1207.4000244140625,2897.52001953125,12.5,2.884000062942505
2180,2018-08-29,XOM,8004800,57.43397521972656,69.51000213623047,1204.5,2914.0400390625,12.25,2.884000062942505
2181,2018-08-30,XOM,7450900,57.18537521362305,70.25,1197.699951171875,2901.1298828125,13.529999732971191,2.859999895095825
2182,2018-08-31,XOM,10700000,56.94385528564453,69.80000305175781,1200.300048828125,2901.52001953125,12.859999656677246,2.8529999256134038
2183,2018-09-04,XOM,8855000,57.02910232543945,69.87000274658203,1192.699951171875,2896.719970703125,13.15999984741211,2.9019999504089355
2184,2018-09-05,XOM,13878400,57.78912734985352,68.72000122070312,1194.9000244140625,2888.60009765625,13.90999984741211,2.9019999504089355
2185,2018-09-06,XOM,13320600,57.149864196777344,67.7699966430664,1197.9000244140625,2878.050048828125,14.649999618530272,2.878999948501587
2186,2018-09-07,XOM,16417800,58.12297058105469,67.75,1193.5999755859375,2871.679931640625,14.880000114440918,2.941999912261963
2187,2018-09-10,XOM,10817900,58.0377082824707,67.54000091552734,1193.0,2877.1298828125,14.15999984741211,2.937000036239624
2188,2018-09-11,XOM,11891900,58.85455703735352,69.25,1195.4000244140625,2887.889892578125,13.220000267028809,2.976999998092652
2189,2018-09-12,XOM,11556300,59.046329498291016,70.37000274658203,1204.699951171875,2888.919921875,13.140000343322754,2.963000059127808
2190,2018-09-13,XOM,11162700,58.47099304199219,68.58999633789062,1202.0,2904.179931640625,12.369999885559082,2.963000059127808
2191,2018-09-14,XOM,9442600,58.89717483520508,68.98999786376953,1195.0,2904.97998046875,12.06999969482422,2.99399995803833
2192,2018-09-17,XOM,8403300,59.24522018432617,68.91000366210938,1199.699951171875,2888.800048828125,13.68000030517578,3.000999927520752
2193,2018-09-18,XOM,9219900,59.401485443115234,69.8499984741211,1196.800048828125,2904.31005859375,12.789999961853027,3.0480000972747803
2194,2018-09-19,XOM,10413600,60.11177444458008,71.12000274658203,1202.199951171875,2907.949951171875,11.75,3.0829999446868896
2195,2018-09-20,XOM,11198200,60.246726989746094,70.80000305175781,1206.199951171875,2930.75,11.800000190734863,3.078000068664551
2196,2018-09-21,XOM,26639400,60.49531173706055,70.77999877929688,1196.199951171875,2929.669921875,11.68000030517578,3.068000078201294
2197,2018-09-24,XOM,13549500,61.511043548583984,72.08000183105469,1199.300048828125,2919.3701171875,12.199999809265137,3.078000068664551
2198,2018-09-25,XOM,12200700,61.44001388549805,72.27999877929688,1200.0,2915.56005859375,12.420000076293944,3.101999998092652
2199,2018-09-26,XOM,10275500,60.92859649658203,71.56999969482422,1194.0,2905.969970703125,12.890000343322754,3.061000108718872
2200,2018-09-27,XOM,7895400,60.92149353027344,72.12000274658203,1182.300048828125,2914.0,12.40999984741211,3.055999994277954
2201,2018-09-28,XOM,9884900,60.38877868652344,73.25,1191.5,2913.97998046875,12.119999885559082,3.055999994277954
2202,2018-10-01,XOM,8566900,60.94991302490234,75.30000305175781,1187.0999755859375,2924.590087890625,12.0,3.0799999237060547
2203,2018-10-02,XOM,8453100,61.41157531738281,75.2300033569336,1202.4000244140625,2923.429931640625,12.050000190734863,3.055999994277954
2204,2018-10-03,XOM,10206700,61.191402435302734,76.41000366210938,1198.300048828125,2925.510009765625,11.609999656677246,3.1610000133514404
2205,2018-10-04,XOM,10204600,60.78655624389648,74.33000183105469,1197.199951171875,2901.610107421875,14.220000267028809,3.197000026702881
2206,2018-10-05,XOM,9217400,60.6160774230957,74.33999633789062,1201.199951171875,2885.570068359375,14.81999969482422,3.2249999046325684
2207,2018-10-08,XOM,13242400,61.17719650268555,74.29000091552734,1184.4000244140625,2884.429931640625,15.6899995803833,3.2330000400543213
2208,2018-10-09,XOM,10177900,61.44712066650391,74.95999908447266,1187.199951171875,2880.340087890625,15.949999809265137,3.2079999446868896
2209,2018-10-10,XOM,16573400,60.03361892700195,73.16999816894531,1189.300048828125,2785.679931640625,22.959999084472656,3.2249999046325684
2210,2018-10-11,XOM,20320100,57.95958709716797,70.97000122070312,1223.5,2728.3701171875,24.979999542236328,3.132999897003174
2211,2018-10-12,XOM,15216300,57.80331802368164,71.33999633789062,1218.0999755859375,2767.1298828125,21.309999465942383,3.1410000324249268
2212,2018-10-15,XOM,10558800,57.40557098388672,71.77999877929688,1226.4000244140625,2750.7900390625,21.299999237060547,3.1630001068115234
2213,2018-10-16,XOM,9781800,57.67548370361328,71.91999816894531,1227.300048828125,2809.919921875,17.6200008392334,3.1559998989105225
2214,2018-10-17,XOM,12247700,57.88854217529297,69.75,1223.699951171875,2809.2099609375,17.399999618530273,3.178999900817871
2215,2018-10-18,XOM,17448600,58.13716506958008,68.6500015258789,1226.5,2768.780029296875,20.059999465942383,3.174999952316284
2216,2018-10-19,XOM,12098700,58.22238540649414,69.12000274658203,1225.300048828125,2767.780029296875,19.88999938964844,3.197999954223633
2217,2018-10-22,XOM,9474100,57.63997650146485,69.16999816894531,1221.199951171875,2755.8798828125,19.63999938964844,3.196000099182129
2218,2018-10-23,XOM,15465100,56.7094955444336,66.43000030517578,1233.4000244140625,2740.68994140625,20.709999084472656,3.1659998893737797
2219,2018-10-24,XOM,16085700,55.13263320922852,66.81999969482422,1227.800048828125,2656.10009765625,25.229999542236328,3.124000072479248
2220,2018-10-25,XOM,12315500,55.62273788452149,67.33000183105469,1229.0999755859375,2705.570068359375,24.21999931335449,3.135999917984009
2221,2018-10-26,XOM,18160100,55.0687141418457,67.58999633789062,1232.5,2658.68994140625,24.15999984741211,3.07699990272522
2222,2018-10-29,XOM,15707000,54.72777938842773,67.04000091552734,1224.5,2641.25,24.700000762939453,3.086999893188477
2223,2018-10-30,XOM,17758200,55.95657730102539,66.18000030517578,1222.5999755859375,2682.6298828125,23.350000381469727,3.109999895095825
2224,2018-10-31,XOM,16629100,56.5958366394043,65.30999755859375,1212.300048828125,2711.739990234375,21.229999542236328,3.1589999198913574
2225,2018-11-01,XOM,14159300,57.29902648925781,63.68999862670898,1236.0,2740.3701171875,19.34000015258789,3.1440000534057617
2226,2018-11-02,XOM,19350400,58.20819091796875,63.13999938964844,1230.9000244140625,2723.06005859375,19.51000022888184,3.21399998664856
2227,2018-11-05,XOM,15815000,57.98799896240234,63.09999847412109,1229.800048828125,2738.31005859375,19.959999084472656,3.200999975204468
2228,2018-11-06,XOM,9063200,58.23659133911133,62.209999084472656,1223.800048828125,2755.449951171875,19.90999984741211,3.21399998664856
2229,2018-11-07,XOM,12699800,58.97530364990234,61.66999816894531,1226.199951171875,2813.889892578125,16.360000610351562,3.213000059127808
2230,2018-11-08,XOM,16865500,58.0377082824707,60.66999816894531,1222.9000244140625,2806.830078125,16.719999313354492,3.233999967575073
2231,2018-11-09,XOM,15070100,58.023380279541016,60.18999862670898,1206.4000244140625,2781.010009765625,17.360000610351562,3.188999891281128
2232,2018-11-12,XOM,11906600,57.27718353271485,59.93000030517578,1201.300048828125,2726.219970703125,20.450000762939453,3.186000108718872
2233,2018-11-13,XOM,15530200,55.96418380737305,55.68999862670898,1199.199951171875,2722.179931640625,20.020000457763672,3.1449999809265137
2234,2018-11-14,XOM,18552100,55.52651596069336,56.25,1207.9000244140625,2701.580078125,21.25,3.119999885559082
2235,2018-11-15,XOM,18976000,56.10050582885742,56.459999084472656,1212.800048828125,2730.199951171875,19.979999542236328,3.118000030517578
2236,2018-11-16,XOM,13704900,56.6529655456543,56.459999084472656,1220.800048828125,2736.27001953125,18.13999938964844,3.0739998817443848
2237,2018-11-19,XOM,9430800,56.83952331542969,56.7599983215332,1223.0999755859375,2690.72998046875,20.100000381469727,3.056999921798706
2238,2018-11-20,XOM,15533700,55.22517013549805,53.43000030517578,1219.0,2641.889892578125,22.479999542236328,3.0480000972747803
2239,2018-11-21,XOM,9685300,55.64848327636719,54.630001068115234,1225.800048828125,2649.929931640625,20.799999237060547,3.061000108718872
2240,2018-11-23,XOM,10875400,54.16328811645508,50.41999816894531,1221.0,2632.56005859375,21.520000457763672,3.053999900817871
2241,2018-11-26,XOM,13741100,55.23234176635742,51.630001068115234,1220.199951171875,2673.449951171875,18.899999618530277,3.072000026702881
2242,2018-11-27,XOM,10344500,55.28256988525391,51.560001373291016,1211.199951171875,2682.169921875,19.020000457763672,3.055000066757202
2243,2018-11-28,XOM,11482100,56.28703689575195,50.290000915527344,1221.4000244140625,2743.7900390625,18.489999771118164,3.0439999103546143
2244,2018-11-29,XOM,10255200,56.7247200012207,51.45000076293945,1224.0999755859375,2737.800048828125,18.790000915527344,3.0350000858306885
2245,2018-11-30,XOM,14040100,57.0404167175293,50.93000030517578,1220.199951171875,2760.169921875,18.06999969482422,3.013000011444092
2246,2018-12-03,XOM,19415100,58.27449798583984,52.95000076293945,1233.9000244140625,2790.3701171875,16.440000534057617,2.992000102996826
2247,2018-12-04,XOM,18540700,56.99019241333008,53.25,1241.0999755859375,2700.06005859375,20.739999771118164,2.924000024795532
2248,2018-12-06,XOM,23218100,56.24401473999024,51.4900016784668,1238.0999755859375,2695.949951171875,21.190000534057617,2.875999927520752
2249,2018-12-07,XOM,16224700,55.70587539672852,52.61000061035156,1246.800048828125,2633.080078125,23.229999542236328,2.8499999046325684
2250,2018-12-10,XOM,17946200,54.916648864746094,51.0,1243.699951171875,2637.719970703125,22.63999938964844,2.8559999465942383
2251,2018-12-11,XOM,15742400,55.01709747314453,51.650001525878906,1241.9000244140625,2636.780029296875,21.76000022888184,2.878999948501587
2252,2018-12-12,XOM,14559800,54.543556213378906,51.150001525878906,1244.4000244140625,2651.070068359375,21.459999084472656,2.9059998989105225
2253,2018-12-13,XOM,13749700,55.23234176635742,52.58000183105469,1242.699951171875,2650.5400390625,20.649999618530277,2.9110000133514404
2254,2018-12-14,XOM,12669300,54.22785186767578,51.20000076293945,1237.0,2599.949951171875,21.6299991607666,2.8910000324249268
2255,2018-12-17,XOM,15464100,53.12292098999024,49.880001068115234,1247.4000244140625,2545.93994140625,24.520000457763672,2.8570001125335693
2256,2018-12-18,XOM,18681200,51.65923309326172,46.2400016784668,1249.199951171875,2546.159912109375,25.57999992370605,2.825000047683716
2257,2018-12-19,XOM,21679600,50.78390884399414,47.20000076293945,1252.0999755859375,2506.9599609375,25.57999992370605,2.7780001163482666
2258,2018-12-20,XOM,28723700,49.24129867553711,45.880001068115234,1263.5999755859375,2467.419921875,28.3799991607666,2.7890000343322754
2259,2018-12-21,XOM,47287300,48.87538146972656,45.59000015258789,1253.800048828125,2416.6201171875,30.11000061035156,2.7920000553131104
2260,2018-12-24,XOM,14262800,47.00274658203125,42.52999877929688,1267.5,2351.10009765625,36.06999969482422,2.749000072479248
2261,2018-12-26,XOM,24887700,49.24845886230469,46.220001220703125,1269.199951171875,2467.699951171875,30.40999984741211,2.796999931335449
2262,2018-12-27,XOM,22077000,49.46372985839844,44.61000061035156,1277.300048828125,2488.830078125,29.959999084472656,2.743000030517578
2263,2018-12-28,XOM,19710600,48.91126251220703,45.33000183105469,1279.9000244140625,2485.739990234375,28.34000015258789,2.736000061035156
2264,2018-12-31,XOM,15807000,48.92561721801758,45.40999984741211,1278.300048828125,2506.85009765625,25.420000076293945,2.686000108718872
2265,2019-01-02,XOM,16727200,50.00186538696289,46.540000915527344,1281.0,2510.030029296875,23.21999931335449,2.6610000133514404
2266,2019-01-03,XOM,13866100,49.23411560058594,47.09000015258789,1291.800048828125,2447.889892578125,25.450000762939453,2.553999900817871
2267,2019-01-04,XOM,16043600,51.04937744140625,47.959999084472656,1282.699951171875,2531.93994140625,21.3799991607666,2.6589999198913574
2268,2019-01-07,XOM,10844200,51.31484222412109,48.52000045776367,1286.800048828125,2549.68994140625,21.399999618530277,2.681999921798706
2269,2019-01-08,XOM,11439000,51.68793869018555,49.77999877929688,1283.199951171875,2574.409912109375,20.46999931335449,2.7160000801086426
2270,2019-01-09,XOM,13473500,51.960594177246094,52.36000061035156,1289.300048828125,2584.9599609375,19.979999542236328,2.7279999256134038
2271,2019-01-10,XOM,13151100,51.69512939453125,52.59000015258789,1284.699951171875,2596.639892578125,19.5,2.7309999465942383
2272,2019-01-11,XOM,9790100,51.45833587646485,51.59000015258789,1287.0999755859375,2596.260009765625,18.190000534057617,2.700999975204468
2273,2019-01-14,XOM,11012400,51.39377212524414,50.5099983215332,1289.0999755859375,2582.610107421875,19.06999969482422,2.7100000381469727
