date,volume,adjprice,oil,gold,sp500,vix,rates_10y
2018-10-15,32068100.0,100.01426696777344,71.77999877929688,1226.4000244140625,2750.7900390625,21.299999237060547,3.163000106811523
2018-10-16,31610200.0,103.174560546875,71.91999816894531,1227.300048828125,2809.919921875,17.6200008392334,3.1559998989105225
2018-10-17,26548200.0,102.9050064086914,69.75,1223.699951171875,2809.2099609375,17.399999618530273,3.178999900817871
2018-10-18,32506200.0,100.8508071899414,68.6500015258789,1226.5,2768.780029296875,20.059999465942383,3.174999952316284
2018-10-19,32785500.0,100.99952697753906,69.12000274658203,1225.300048828125,2767.780029296875,19.88999938964844,3.197999954223633
2018-10-22,26545600.0,101.9011459350586,69.16999816894531,1221.199951171875,2755.8798828125,19.63999938964844,3.196000099182129
2018-10-23,43770400.0,100.47901153564453,66.43000030517578,1233.4000244140625,2740.68994140625,20.709999084472656,3.1659998893737797
2018-10-24,63897800.0,95.10649871826172,66.81999969482422,1227.800048828125,2656.10009765625,25.229999542236328,3.124000072479248
2018-10-25,61646800.0,100.66490936279295,67.33000183105469,1229.0999755859375,2705.570068359375,24.21999931335449,3.135999917984009
2018-10-26,55523100.0,99.41938018798828,67.58999633789062,1232.5,2658.68994140625,24.15999984741211,3.07699990272522
2018-10-29,55162000.0,96.52864837646484,67.04000091552734,1224.5,2641.25,24.700000762939453,3.086999893188477
2018-10-30,65350900.0,96.41712188720703,66.18000030517578,1222.5999755859375,2682.6298828125,23.350000381469727,3.109999895095825
2018-10-31,51062400.0,99.27996063232422,65.30999755859375,1212.300048828125,2711.739990234375,21.229999542236328,3.1589999198913574
2018-11-01,33384200.0,98.45269775390625,63.68999862670898,1236.0,2740.3701171875,19.34000015258789,3.1440000534057617
2018-11-02,37680200.0,98.67578125,63.13999938964844,1230.9000244140625,2723.06005859375,19.51000022888184,3.21399998664856
2018-11-05,27922100.0,99.93061065673828,63.09999847412109,1229.800048828125,2738.31005859375,19.959999084472656,3.200999975204468
2018-11-06,24340200.0,100.12581634521484,62.209999084472656,1223.800048828125,2755.449951171875,19.90999984741211,3.21399998664856
2018-11-07,37901700.0,104.0668716430664,61.66999816894531,1226.199951171875,2813.889892578125,16.360000610351562,3.213000059127808
2018-11-08,25644100.0,103.87168884277344,60.66999816894531,1222.9000244140625,2806.830078125,16.719999313354492,3.233999967575073
2018-11-09,32039200.0,101.84538269042967,60.18999862670898,1206.4000244140625,2781.010009765625,17.360000610351562,3.188999891281128
2018-11-12,33621800.0,99.33573150634766,59.93000030517578,1201.300048828125,2726.219970703125,20.450000762939453,3.186000108718872
